,title,nsuid,price_us,description
507,#Breakforcist Battle,70010000003782,9.99,"Are you hungry!? Introducing an all new version of the cult favorite breakfast/exorcism-themed waffle-busting game, #Breakforcist Battle! Use your magic paddle & ball to rescue breakfast with classic brick-breaking gameplay. Work together with a friend i…"
4318,#DRIVE,70010000031783,12.99," #DRIVE is an endless driving video game inspired by road and action movies from the 70s and 80s. As simple as possible, allowing the player to pick a car, pick the place and just hit the road. Just be aware not to hit anything else. No matter where we d…"
3250,#Funtime,70010000023330,14.99,#Funtime is an explosive twin-stick shooter where shooting isn't your only weapon. #Funtime combines traditional twin-stick shooting with a unique coloring mechanic. Earn bonus points by coloring the playing field and exploding enemies that cross your pa…
5175,"#Halloween, Super Puzzles Dream",70010000035283,5.99,"#Halloween! is the hashtag for the most terrifying topic! Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic.  Two levels of play, 'senior' (for adults) and 'junior' (for childre…"
1732,#KILLALLZOMBIES,70010000014432,19.99,"In the distant future, #killallzombies is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment.  Features: • Hordes of zombies to fight on interactive changing arena • Three modes…"
4786,"#NoLimitFantasy, Super Puzzles Dream",70010000033545,6.19,"Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic.  #NoLimitFantasy! is the hashtag for this section. Devoted to the necessary and forgotten world of fantasy featuring illustrat…"
2803,#RaceDieRun,70010000020465,9.99,"#RaceDieRun is an arcade racing game in which you pilot extremely fast ships. Easy controls meet a challenging gameplay in a #Race that perfectly executes the ""easy to learn, hard to master"" saying. You will #Die many times. But you will want to improve,…"
5085,#SinucaAttack,70010000035037,4.99,"Cleverly crafted indie platform puzzler #SinucaAttack arrives on console, bringing its unique blend of pool ball physics and 2D platforming to new players worldwide. Choose your character, customize your cue stick and leap into a series of fast-paced roo…"
6291,"#Wish travel, Super Puzzles Dream",70010000041263,5.99,"Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic. #Wish travel, is the hashtag for saying YES! ...to the trip of your dreams. Your jaw will drop as you complete puzzles with pa…"
5116,"#Xmas, Super Puzzles Dream",70010000035923,5.99,"Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic.  Two levels of play, 'senior' (for adults) and 'junior' (for children aged 3+), guarantee hours of entertainment for all.  Bec…"
6621,"#pinocchio, Super Puzzles Dream",70010000043092,5.99,"Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic. #Pinocchio is the hashtag for a classic tale that teaches children what happens when they are disobedient and tell lies. Pinoc…"
4130,"#womenUp, Super Puzzles Dream",70010000029893,6.19,"Puzzles move onto the next level with ‘Super Puzzle Dream’, a mix between classic jigsaw and a ‘Tetris’-style dynamic mechanic.  #womenUp! is the 'hashtag' for this programme, which dedicates beautiful illustrations and emotive phrases to women on comple…"
1769,'n Verlore Verstand,70010000014369,13.99,"In 'n Verlore Verstand you will be transported to a reality of dreams and nightmares. What will you discover about yourself in this journey through the subconscious?  In these realms of the unknown, you must travel through labyrinths of memories to event…"
8252,- Doki Doki Family - 特異体質者のドキドキ家族生活,70010000053006,19.9,"“Doki Doki Family"" is a novel game in which the protagonist, who has a rare life-threatening condition, lives a sweet life with his adoptive big sister, adoptive little sister, and adoptive mother in order to treat it. A bishojo game released in 2018 und…"
12159,- Fortunate Duo - 強運傭兵と宝石の姫騎士,70010000078918,19.9,
9032,- Isekai Bride Hunting - 異世界娘と婚活中 Chartier Edition,70010000058867,7.99,"“Isekai Musume Hatsujouchuu”, released in 2019 from the bishojo game brand Calcite, has been remade for the CS Novel Club platform for the enjoyment of people around the world. Chartier Edition is a short version that includes a story focusing on the bew…"
9229,- Isekai Harem Saver - ハーレム過ぎる異世界は俺が救う,70010000059824,19.9,"""- Isekai Harem Saver - ハーレム過ぎる異世界は俺が救う"" is a novel game in which the protagonist ""Daigo"", saves the world of harem while encountering various incidents. This Bishojo Game originally released under the ""Genyukyo"" brand has been reworked for the ""CS Novel…"
10168,- Isekai Junior Manager - ハズレ転生:最底辺から始める異世界経営,70010000065849,19.9,
11352,"- Math, BFF, and Notes - 数学と親友とネタ帳",70010000073778,19.9,
9360,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Dorothy Edition,70010000060438,7.99,"“Mischief Dungeon Life"" is an isekai fantasy novel game in which Renji is reborn in another world as a demon. He encounters various heroines while playing a big role in the fates of both the Demon Clan and the Human Tribe. Bishojo game released in 2020 f…"
9359,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Janice Edition,70010000060636,7.99,"“Mischief Dungeon Life"" is an isekai fantasy novel game in which Renji is reborn in another world as a demon. He encounters various heroines while playing a big role in the fates of both the Demon Clan and the Human Tribe. Bishojo game released in 2020 f…"
9357,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ Satsuki Edition,70010000060806,7.99,"“Mischief Dungeon Life"" is an isekai fantasy novel game in which Renji is reborn in another world as a demon. He encounters various heroines while playing a big role in the fates of both the Demon Clan and the Human Tribe. This bishojo game released in 2…"
9361,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　ClaraEdition,70010000060224,7.99,"“Mischief Dungeon Life"" is an isekai fantasy novel game in which Renji is reborn in another world as a demon. He encounters various heroines while playing a big role in the fates of both the Demon Clan and the Human Tribe. This bishojo game released in 2…"
9358,- Mischief Dungeon Life - 異世界転生した俺のイタズラダンジョンライフ　アーシャEdition,70010000060706,7.99,"“Mischief Dungeon Life"" is an isekai fantasy novel game in which Renji is reborn in another world as a demon. He encounters various heroines while playing a big role in the fates of both the Demon Clan and the Human Tribe. This bishojo game released in 2…"
10627,- Stuck With Naughty Housewives - あまあま人妻包囲網,70010000068389,19.9,
10633,-Becoming Your Beautiful Cousin- 美人姉妹と入れ替わり生活,70010000068545,19.9,
3081,-KLAUS-,70010000022958,14.99,Klaus is a 2D puzzle platformer with a self-aware narrative. Its design takes inspiration from classics games combined with a tense and emotionally engaging story.  Klaus discovers his identity while trying to escape from a mysterious basement. It‘s a se…
10986,.T.E.S.T: Expected Behaviour,70010000071872,7.99,
5487,.cat,70010000037395,9.99,"It is a beautiful 2D pixel art game for all ages. Where you are a cat, you must avoid obstacles and beat enemies looking for the end of each stage."
6597,.cat Milk,70010000043864,9.99,"This is a white little cat who loves to jump and to get into adventures around the town until he finds milk to drink. Once he accomplishes his mission, then it is time to go home. A fluffy white cat."
7069,.dog,70010000046949,9.99,This is the dog game in which you must jump onto all your foes in order to move to the next level. The game is super fun and rated for all ages.
5796,.hack//G.U. Last Recode,70010000039876,49.99,"Log back into the .hack//G.U., an exciting action RPG that is now on the Nintendo Switch™! This collection includes all 4 .hack//G.U. titles (Rebirth, Reminisce, Redemption, and Reconnection) in one single integrated experience. Immerse yourself in “The …"
4093,/Connection Haunted <SERVER ERROR>,70010000029029,4.99,<SERVER ERROR> # Cl422IC Fp5 g4M3pl4y # wiD3 53l3cTI0n 0F L3V3L5  # dI3v3R5 r4NG3 0f g4m3 m0D35  # INT3R35Tin' L3V3L D35In  # R3tr0 p5X Gr4PHIC5  # f4mIly fRi3nDLY  # h3LpFul 4nd 4ctiv3 C0mmUnITY  # 5t48L3 53RV3R5 <CONNECTION RETRIEVED>connectionhauntedi…
5886,0 Degrees,70010000039475,4.99,"A snow-covered wonderland of platforming action awaits in 0 Degrees, a chill puzzle experience for players of any age or skill level! Take control of a bundled-up pixel art climber as they make their way across icefields, up frosted peaks, through dark c…"
5422,0x0 Minimalist,70010000037883,3.99,"Classic computer puzzle game. Push to complete the puzzle, starts easy and gets really hard."
10,1-2-Switch™,70010000000141,49.99,"Throw an impromptu party anywhere with anyone thanks to a new play style in which players look at each other—not the screen! Bring the action and fun into the real world as you face off in wild-west duels, cow-milking competitions, a copycat dance-off, a…"
4838,10 Second Ninja X,70010000034757,7.99,"SCENARIO: 10 SECOND NINJA X is a shockingly fast, overwhelmingly intense action/puzzle game. In this thumb-blistering sequel, the nefarious Captain Greatbeard has kidnapped you and trapped your forest friends inside of his army of robots like some kind o…"
873,10 Second Run RETURNS,70010000007261,4.99,"The legendary action game, ""10 Second Run"" is back! The rules (and controls) are simple: ""Move Sideways"" and ""Jump & Dash"" to get to the finish line in under 10 seconds! Unlock different types of stick figures as you clear the stages! Run solo or race ag…"
11299,10 Seconds to Win!,70010000073849,4.99,
13197,10-Second Ghost,70010000086467,9.99,
11525,100 Demon Fantasia,70010000074712,9.99,
11289,100 Doors - Escape from Prison,70010000073583,9.99,
12554,100 Doors - Escape from Work,70010000081958,9.99,
12656,100 Doors Escape: Let me In!,70010000082949,9.99,
10429,100 Doors Games: School Escape,70010000067802,9.99,
13167,1000 Questions Quiz! national flag,70010000086237,8.99,
9090,1000xRESIST,70010000059156,19.99,
1420,1001 Ultimate Mahjong ™ 2,70010000012827,9.99,"Mahjong Solitaire has attracted players from around the world for decades - it took us just a couple of years to gather their experience into one, beautifully crafted proposal. What is so addictive in this subtle, yet demanding at a time, pair matching g…"
10318,100animalease,70010000066386,6.99,
4751,103,70010000033633,9.99,"Lily has never been quite like other people. Since she was a child, her wild imagination and strong memory have given her the talent to create her own home. A place in her mind away from the dangers of the world, to keep her dreams and memories safe. But…"
10117,11111Game,70010000065158,9.99,
6618,112 Operator,70010000043044,19.99,"112 Operator allows you to manage emergency services on a global scale. Dispatch units, take calls and face situations caused by weather, traffic or changing seasons. Help the city survive escalating events like riots, organized crime, terrorist attacks,…"
4379,112th Seed,70010000031790,4.99,"In a future where Earth has become uninhabitable and food is so scarce that most of humanity has perished, take the role of a seed that could restore hope! Make your way through the last labs constructed to cultivate a plant species capable of surviving …"
9486,12 Labours Of Hercules VII: Fleecing The Fleece,70010000061471,7.99,
2287,12 Labours of Hercules,70010000017002,4.99,"You assist a hero from Ancient Greece, Hercules. Evil Hades had kidnapped his wife while Hercules was asleep. This wasn't the only problem. The villain has destroyed the roads, so it takes a lot of effort to follow.  The Player will have to fix the paths…"
3444,12 Labours of Hercules II: The Cretan Bull,70010000025481,7.99,"With over a million downloads and a passionate community of players, Hercules heat arrives on Nintendo Switch yet again – this time for its breathtaking sequel! Don't wake the sleeping dragon… or rather don't try to mess with Hera! The Greek Goddess is u…"
5101,12 Labours of Hercules III: Girl Power,70010000035912,7.99,"A hero from Ancient Greece, Hercules, is fighting the great beast Scylla, when lurking Charybdis captures his friend Cerberus! Then, unseen by Hercules, takes the hero himself. The only chance for Hercules is his wife Megara. Help Megara free the hero an…"
5829,12 Labours of Hercules IV: Mother Nature,70010000039580,7.99,"The legendary hero Hercules and his wife Megara are back, ready to embark on their next adventure! The Gods are outraged at their defeat and have summoned a fearsome beast who can match Hercules's god-like strength. The beast has trampled the countryside…"
7558,12 Labours of Hercules V: Kids of Hellas,70010000049817,7.99,"The peaceful living of Hercules and Megara is interrupted by mighty god of war, Ares. He asks Hercules to help him conquer the world by leading the great army.  As soon as Hercules declines, Ares finds a way to avenge. By using the enchanted toys, he zom…"
9180,12 Labours of Hercules VI: Race for Olympus,70010000059051,7.99,A crime has been committed on the Mount Olympus! Something triggered the alarm and it can only mean trouble! The first hero to respond to the call is Hercules - he quickly arrives to the scene to discover that Zeus been abducted... There is no time to wa…
2132,12 is Better Than 6,70010000016405,9.99,"It is 1873. An escaped slave is slowly walking through the desert, making his way from Mexico to Texas. He keeps a revolver close and is wearing the sombrero stolen from a dead man. Deadly gunfights:  You’ll need to cock the revolver with one trigger bef…"
242,12 orbits,70010000001029,4.99,"12 orbits doesn’t require any prior knowledge, preparation time or additional controllers. Your left and right Joy-Con, or even the touch screen alone, are all you need for any number of players. The only limit is how close you’d like to be together. 12 …"
6219,123 Dots,70010000041569,9.99,"★ Learning games for preschoolers from ages 2 to 6 years old ★ The game includes more than 150 educational activities for your child to learn while having fun. 123 Dots also helps children develop important basic skills such as creativity, basic skills, …"
7004,13 Sentinels: Aegis Rim,70010000046471,59.99,"Uncover the truth and delve into a 2D sidescrolling adventure featuring gorgeous art and environments. Then, battle the kaiju in fast-paced, top-down combat. Customize the Sentinels with an arsenal of mechsuit weaponry, and fight to defend humanity!"
3133,140,70010000022752,4.99,"140 is an IGF award-winning rhythm platformer with a minimalistic style and abstract, colorful graphics. Use the rhythm to overcome challenging obstacles controlled by an energetic electronic soundtrack. The game is independently designed by Jeppe Carlse…"
6677,15in1 Solitaire,70010000044765,2.99,"Freecell and Klondike are just the beginning! Dive deep into the world of Solitaire in the largest Solitaire combo released yet. Offering days of fun, pleasant looks and simple controls. Can your personal best measure up to the best? The common goal of a…"
5568,16-Bit Soccer,70010000037044,4.99,Do you love those soccer games on consoles & home computers from the 90s? If you want to relive those moments of fast-paced action with cool pixel graphics then “16-Bit Soccer” is just what you're looking for! You’ll get a real buzz playing this game whi…
5750,1912: Titanic Mystery,70010000038569,9.99,"A bomb is aboard the Titanic II, a replica of the famous cruise ship! You are the sole person who can find where the bomb is concealed. Save the ship, and all aboard, during its maiden journey across the Atlantic Ocean. Search for Hidden Objects among or…"
842,1917 - The Alien Invasion DX,70010000007408,7.99,1917 - The Alien Invasions is a bullet hell memorization shooter. Dr. Brunhild Stahlmüller upgrades an WW1 Triplane with superior alien technology to attack the invaders. She will avenge mankind and take the battle into the darkness of space until she re…
3726,1971 Project Helios,70010000027773,19.99,"1971 Project Helios is a turn-based strategy game which combines modern warfare military tactics and close combat. Firearms and vehicles are scarce, conflicts and hostilities have no end, and the terrible freezing cold annihilates friends and foes in its…"
1170,1979 Revolution: Black Friday,70010000010807,11.99,"Based on true stories and historical events, 1979 Revolution: Black Friday is an interactive drama about choice and consequence, chaos and order. The year is 1978, the place is Tehran, Iran. You play a photojournalist who returns home to find his people …"
3375,198X,70010000024614,9.99,"Welcome to Suburbia, just outside the City, sometime in 198X. This is the journey of Kid, a teenager stuck between the limitations of innocent youth and the obligations of inevitable adulthood. The story unfolds when Kid discovers the local arcade – find…"
4252,1993 Shenandoah,70010000030538,12.99,"Towards the end of the Interstellar Wars, chaos spread and one band of elite mercenaries acted more like pirates and looters than actual soldiers. The leader of this group was the notorious and infamous Colonel Nestor. Without a doubt the biggest prize o…"
11088,1997,70010000071614,9.99,
6528,20 Ladies,70010000043737,4.99,"Enter a world of simple pleasures and minimalistic design, where your only goal is to navigate cleverly arranged stages, avoid spikes and locate beautiful female companions hidden in the environment. But beware of hazards! Break a heart three times, and …"
9429,20 Minutes Till Dawn,70010000061072,4.99,
7997,2021 : Moon Escape,70010000052977,4.99,
2967,2048 Battles,70010000021109,3.99,"Enjoy the classic game up to 8 players!  Play with history and rediscover various trivia.  Play with friends or enemies with three different modes and yup to 8 players!  Enjoy classic 2048, move game, time game and more! Try different puzzle game situati…"
3484,2048 CAT,70010000025795,2.97,"Mischievous cats are messing with your 2048 board (#`Д´)ﾉ Well, how could you blame them if they are so cute!! Come and join them to play with 2048 game! How to play: Use joystick to move all tiles. When two tiles with the same number touch, they merge i…"
223,2064: Read Only Memories INTEGRAL,70010000001958,9.99,"Introducing the ultimate edition of the cyberpunk thriller that has captivated players around the world! 2064: Read Only Memories INTEGRAL features all of the original content featured in previous releases, enhanced and expanded with a host of brand new …"
771,20XX,70010000006362,17.99,"20XX is a roguelike action platformer that you can play with a friend. Jump and shoot your way through ever-changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race maybe! 20XX also features full co-op. P…"
4928,2URVIVE,70010000034740,6.99,"In 2URVIVE, the world is devastated by a virus.  Your only goal is to defend yourself against hordes of Infected attacking you.  Infected are too numerous and sooner or later, your time will come !  If you're gonna die, fight till the end ! 2URVIVE is a …"
5906,2in1 - Application Driver and Serial Killer / Sniper,70010000039588,4.99,"2 fun games with minimalist 3D aesthetics In the first, you will be an application driver who must pick up passengers as quickly as possible, even if you have to run over some pedestrians. In the second you will take on the role of a sniper with psychoti…"
13121,2weistein in Asban,70010000086505,18.0,
4533,2weistein – The Curse of the Red Dragon,70010000032897,18.0,"The Story All was peace and quiet in Asban and the whole land of Trillion – until that day on which the gates remained closed, as if by ghostly hand, and other strange things happened. The mean magician Godron has stolen the book „Mathematica“ from the c…"
5997,2weistein – The Curse of the Red Dragon 2,70010000040413,18.0,"A new episode, following ""2weistein in Asban"". The Story All was peace and quiet in Asban and the whole land of Trillion – until that day on which the gates remained closed, as if by ghostly hand, and other strange things happened. The mean magician Godr…"
8714,2weistein – The Curse of the Red Dragon 3 - Ronger Pirates,70010000056491,18.0,"A new episode, following ""2weistein in Asban"" and ""2weistein - The Lost Wood"". The Story All was peace and quiet in Asban and the whole land of Trillion – until that day on which the gates remained closed, as if by ghostly hand, and other strange things …"
11176,2weistein – The Curse of the Red Dragon 3 - Ronger Pirates - V2,70010000072444,18.0,
3032,3 Little Pigs & Bad Wolf,70010000021173,28.99,"An intelligence board game with parents and children Rules are very easy. The little children are also no problem Play with family and friends Player:1～4 person The story of ""The Three Little Pigs"" loved around the world Build a brick house to resist a b…"
13068,3 Minutes to Midnight®,70010000085542,24.99,
10780,3 minutes Mystery,70010000069350,8.99,
12470,3 minutes Mystery 2,70010000080520,8.99,
5289,3 out of 10: Season One,70010000036678,9.99,Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. Will they ever make a game that scores higher than a 3 out of 10? Stay tuned and find out. In addition to all 5 episodes of th…
10715,30 Sport Games in 1,70010000069208,26.99,
2636,30-in-1 Game Collection,70010000019699,14.99,"Six exotic islands filled with games and trophies are waiting for adventurers of all skill levels! Explore the islands solo, invite a group of friends over for some local co-op and competitive gameplay, or round up the troops for some wholesome family ga…"
3806,3000th Duel,70010000027517,14.99,"A hero with no memory, and with a mysterious mask covering his face, is thrown out into this land of unknown. Reaching to an end of his journey, he discovers a truth that is hard to swallow - something terrifying about his true identity... Explore a huge…"
7989,30XX,70010000052292,19.99,
5875,32 Secs,70010000039682,25.0,"Race through traffic in a futuristic city’s highway with your cyber motorcycle, completing various trials and challenges! Take the city at extreme velocity! Hop your motorcycle and complete various races, time trials and other challenges in a sci-fi metr…"
12070,34 Sports Games - World Edition,70010000078362,29.99,
5609,35MM,70010000038260,9.99,"Post-apocalyptic story about two travelers who set out on a long journey in the wasteland, left by people after the pandemic. The disaster destroyed much of the world's population, the infrastructure went wrong and the common life remained only in memori…"
355,36 Fragments of Midnight,70010000001682,2.99,"This time Midnight's friends lost of their Star Fragments! Your task is to find them, and take them back, but it won't be easy. In this procedurally generated platform game, you have to avoid deadly lasers, circular saws and spikes to collect all the Fra…"
1875,39 Days to Mars,70010000015339,19.99,"39 Days to Mars is a co-operative (and single-player) steampunk puzzle-adventure game. Step into the shoes of Sir Albert Wickes and The Right Honourable Clarence Baxter, two 19th century explorers who have chosen to pilot the HMS Fearful on its maiden vo…"
6415,3D ADVANTIME,70010000042011,9.99,"Get to know this beautiful first person indie game, Where you must go on and back in time using your futuristic laser weapon, which can control time itself. You can solve any kind of puzzle with it."
6625,3D Air Hockey,70010000043253,4.99,"Enjoy fast-paced action in this very close to reality Air Hockey Game. Easy to play, tough to master. main features: - Vey Accurate Controls, easy to pick up - 3D and 2D Views - Top Full 3D Graphics - Real Physic Engine - 3 AI Levels - 6 Tables, 4 Mallets"
5501,3D Arcade Fishing,70010000037499,14.99,"Good Fishing! Prove your skill in handling the fishing rod at lakes around the world that are rich in fish (e.g., Loch Ness). When hunting the fish, keep calm so that the prey doesn't escape from the hook at the last minute. Pull bigger and bigger fish t…"
1993,3D Billiards - Pool & Snooker,70010000015710,19.99,"Step up to the virtual table and show what you can do with a cue! In addition to the pool hall classic eight-ball, you can also play nine-ball, ten-ball and even snooker! Whether alone against the AI or in a duel against a real player on the same console…"
8113,3D Box Sokoban,70010000052313,3.99,"3D Box Sokoban is a logic game that will exercise your brain, helping developing its capabilities. - The goal of the puzzle is to push all of the boxes onto the goals. - Only one box can be pushed at a time. - The puzzle is solved when all boxes are on t…"
420,3D MiniGolf,70010000002619,19.99,"Experience virtual but realistic mini-golf and master an entertaining match on over 54 challenging holes, 18 of which faithfully modelled after official courses in the real world.  Three scenarios in glorious HD are waiting for the discerning mini-golf e…"
11622,3D Printer - PrintMaster Simulator,70010000075270,11.99,
11165,3in1 Game Collection: Backgammon + Checkers + Mills,70010000072896,19.99,
12060,4 The Elements,70010000078188,8.99,
11761,4 in a row,70010000076484,19.99,
10326,44 Minutes in Nightmare,70010000066096,7.0,
12517,49 Keys,70010000081614,9.99,
4546,4x4 Dirt Track,70010000032417,13.99,"Choose from a variety of Epic 4x4 Trucks, Buggies, SUVs & Pickups and put them through their paces!   FEATURES:  ▶ 75 AWESOME LEVELS: Test your offroading skills!  ▶ 15 AMAZING CARS: Exciting and varied collection  ▶ REALISTIC PHYSICS: True off-road expe…"
10396,4x4 Mud - Offroad Car Simulator & Truck,70010000067786,11.99,
11086,4x4 Offroad Car Exploration,70010000071438,9.99,
9068,4x4 Offroad Driver,70010000058948,12.99,"Featuring 15 fantastic Off-Road Vehicles, 4x4 Cars, Pickups, Monster Trucks and specialist Rally Cars to take to the max on a huge number of exciting Off-Road and Precision Trials Driving Courses. Balance your speed and control to master each of the 75 i…"
9843,4x4 Offroad Driver 2,70010000063494,12.99,"Begin your off-road adventure now! Put exciting vehicles through their paces in ultra-intense driving challenges. Featuring hardcore 4x4s, Rally Cars, Off-Road Trucks, Buggies, Pickups and Monster Trucks! FEATURES: - EXCITING OFF-ROAD LOCATION: Drive you…"
12461,50 Pinch Barrage!!,70010000080420,4.99,
5772,502's Arcade,70010000039132,9.99,
3486,60 Parsecs!,70010000025268,9.99,"Your space station is about to explode and you only have 60 seconds before things get messy. What (or who) will you grab before you make a mad dash for the emergency shuttle and begin your journey into THE GREAT UNKNOWN? This is 60 Parsecs!, a dark comed…"
553,60 Seconds!,70010000003896,9.99,"60 Seconds! is a dark comedy atomic adventure of scavenge and survival. Collect supplies and rescue your family before the nuke hits. Stay alive in your fallout shelter. Make difficult decisions, ration food and hunt mutant cockroaches. And maybe survive…"
3241,60 Seconds! Reatomized,70010000023224,9.99,"Scavenge supplies, rescue your family, and stay alive in your fallout shelter. Make difficult decisions, hunt mutant roaches... and maybe survive. Or not. Dolores, Ted, Mary Jane and Timmy return to face the nuclear apocalypse in this new, remastered edi…"
495,6180 the moon,70010000003722,3.99,"6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen game play style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of ""slipping"" to death. In addition to…"
2756,64.0,70010000020868,2.99,"Beware! This game is really hard! If you like challenges or you don't mind losing A LOT, this game is for you. One simple rule: Shoot only the squares that have the same color as the background (the bad guys). One simple goal: Survive 64.0 seconds. Shoot…"
7228,6Souls,70010000047907,7.99,"Embark on an exciting journey to find the abandoned Clifford Castle and uncover its secrets! Our heroes, adventure enthusiasts Jack and his faithful dog companion Butch, go on an exciting quest to find an abandoned castle where the entire Clifford family…"
1803,7 Billion Humans,70010000014721,14.99,"Automate swarms of office workers to solve puzzles inside your very own parallel computer made of people. A thrilling followup to the award winning Human Resource Machine. Now with more humans! THRILLING FEATURES! - More puzzles, more humans, more rippli…"
12356,7 Days Heroes,70010000079583,9.99,
9035,7 Days of Rose,70010000058551,4.99,"Michael considers himself to be a boring, average 17-year old. While most of his classmates have discovered their passions and talents, nothing seems to draw his interest. It's finally summer and he's trying to decide what to do with his life after schoo…"
9353,7 Days to End with You,70010000060039,11.99,"You don't know a single word in the language of this world. Deduce the meanings of words the person before you uses to communicate with you. Then try to understand them like a puzzle, one piece at a time. You are free to perceive the meaning of the words…"
9780,7 Horizons,70010000063872,12.99,
6042,7 Years From Now,70010000040971,9.99,"Play as Haruto Soraki, a high schooler in his quest to find the memory he presumably lost in an accident seven years ago. As you begin your journey in your hometown, meet with forgotten friends, uncover the town dark secrets, leap in the past to out-thin…"
2523,7th Sector,70010000019282,19.99,"Immerse yourself on this intricate path, solving different puzzles, facing its dangers, and collecting scattered information to discover the story of this world. Gain control over several different characters, each with their own abilities that can help …"
7409,8 & 9 Ball Pocket,70010000048099,11.99,"8 & 9 Ball Pocket brings you eight-ball pool and nine-ball pool, also known as American billiards. You can compete with up to 4 friends or against the AI in Versus mode, or challenge the best in the world in Arcade mode, where you can make combo shots an…"
7924,8 Ball Clash,70010000051489,3.99,8 Ball Clash is a billiard or snooker game made for everyone. To the people who never play it or the more experience ones that want to improve your skills and get the best score through the tables. Beat the solids and stripes classic mode or get max scor…
3135,8-Ball Pocket,70010000022638,5.99,"8-Ball Pocket brings you eight-ball pool, also known as American billiards. You can compete with up to 4 friends or against the AI in Versus mode, or challenge the best in the world in Arcade mode, where you can make combo shots and rack up points to bec…"
6635,8-Bit Adventures 2,70010000044003,19.99,
2863,8-Bit Farm,70010000021695,14.0,"This humble little farm desperately needs a new manager, such as you! Start out by getting some livestock, grow flowers, fruit and vegetables, gradually expanding your fields and increasing the number of staff until you're ready to open for agritourism. …"
11329,8-Colors Star Guardians +,70010000073706,4.99,
2778,80 DAYS,70010000020850,12.99,"Choose your own route around the world, travelling by airship, submarine, mechanical camel, steam-train and more, racing other players and a clock that never stops in TIME Magazine's #1 Game of the Year 2014, now on Switch. Featuring stunning art by Jaum…"
